类型名称,备注,属性,类型,子类型,说明,解析类型
reward,奖励经验、银子、声望等,rtype,int8,,奖励类型（程序中定义0x1-0xF 基础货币，0x10-0x7F声望货币）,
,,value,int32,,,
rewarditem,奖励物品,sid,int32,,物品SID,
,,amount,int16,,数量,
,,quality,int8,,品质,
warpropinfo,属性列表,props16,list8,prop16,,
,,props32,list8,prop32,,
,,battle,int32,,战力,
equipgrowinfo,装备养成信息,pos,int8,,部位,
,,lvl,int16,,当前等级,
,,props,list8,warpropinfo,"当前加成属性列表,宝石的有多个槽，其他只有一条",
,,nextprops,list8,warpropinfo,下一等级加成属性列表，为空时表示满级,
,,,,,,
skill,技能,sid,uint16,,技能ID，小于5000表示主动技能,
,,lv,uint8,,技能等级,
skilllearncost,技能学习消耗,sid,uint16,,技能ID，小于5000表示主动技能,
,,cost,int32,,升级消耗，为0时不能升级,
summon,灵兽,sid,int16,,编号,
,,shape,int16,,造型,
,,quality,int8,,品质,
,,name,string8,,名字,
,,grade,int16,,等级,
,,exp,int16,,经验,
,,props,warpropinfo,,等级属性,
,,skills,list8,skill,技能列表,
,,battle,int32,,总战力,
summonapt,,sid,int16,,宠物编号,
,,lvl,int16,,等阶,
,,exp,int16,,升阶经验,
,,props,warpropinfo,,升阶属性,
,,aptsklv,uint8,,资质技能等级,
mailsimple,邮件简明信息,id,int32,,邮件ID,
,,status,int8,,"邮件状态(0初始,1已读未领取,2已领取)",
,,title,string8,,标题,
,,sendtime,int32,,发送时间,
,,hasattach,int8,,"是否有附件(1-有附件,0-无附件)",
mail,邮件信息信息,id,int32,,邮件ID,
,,status,int8,,"邮件状态(0初始,1已读未领取,2已领取)",
,,rewards,list8,reward,附件奖励,
,,items,list8,rewarditem,附件物品,
,,content,string16,,邮件内容,
teammemberinfo,队伍成员信息,pid,int32,,角色ID,
,,name,string8,,,
,,shape,int16,,,
,,desc,byte8,,,
,,cls,int8,,,
,,grade,int16,,,
,,vip,int8,,,
,,battle,int32,,,
teaminfo,队伍信息,teamid,int32,,队伍ID,
,,leader,teammemberinfo,,队长信息,
,,memcnt,int8,,成员数量,
partner,仙侣,sid,int16,,编号,
,,shape,int16,,造型,
,,quality,int8,,品质,
,,name,string8,,名字,
,,grade,int16,,等级,
,,exp,int16,,经验,
,,props,warpropinfo,,等级属性,
,,skills,list8,skill,技能列表,
,,battle,int32,,总战力,
,,,,,,
s2c_rolelist_info,,id,int32,,,
,,shape,int16,,,
,,class,int8,,,
,,lv,int16,,,
,,name,string8,,,
yaoguai,妖怪信息,id,int32,,服务器编号,
,,index,int16,,妖怪场景编号,
,,star,int8,,星级,
qmbossdesc,BOSS概况,bossid,int16,,BOSSID,
,,status,int8,,BOSS当前状态(1存活 2死亡),
,,fighter,int8,,挑战人数,
,,hprate,int8,,当前生命比例,
,,rebirthtime,int32,,下次重生时间,
qmbossdmg,BOSS伤害列表,id,int32,,角色ID,
,,name,string8,,玩家名,
,,damage,int32,,伤害值,
qmbosskill,BOSS击杀信息,second,int32,,击杀时间,
,,name,string8,,角色名,
,,battlevalue,int32,,击杀时战力,
rank_data,排行榜数据,data16,list8,int16,,
,,data32,list8,int32,,
,,datastr,list8,string8,,
shopitem,商店商品数据,index,int32,,商品编号,
,,exchanged,int32,,限购周期内已兑换次数,
,,validcond,int8,,是否符合先决条件,
scpasssecrwd,主线关卡章奖励 ,sceneid,int16,,场景ID,
,,sectionid,int16,,章ID,
mfbinfo,材料副本信息,fubenid,int16,,副本ID,
,,fighted,int8,,已挑战次数,
,,saodang,int8,,已扫荡次数,
arena_worrior,竞技场角色,ranking,int16,,排名,
,,name,string8,,角色名,
,,battle,int32,,战力,
,,shape,int16,,造型,
,,desc,byte8,,描述,
arena_record,竞技场战斗记录,win,int8,,0:胜利、1:失败、2:平局,
,,rise,int16,,排名变动，正数为上升、负数为下降、0代表不变,
,,challenge,int8,,0:发起挑战、1:被挑战,
,,name,string8,,对方角色名,
,,second,int32,,时间,
simplerole,简单角色信息,roleid,int32,,角色ID,
,,shape,int16,,,
,,name,string8,,角色名,
friendinfo,好友信息,roleid,int32,,,
,,name,string8,,,
,,shape,int16,,,
,,grade,int16,,,
,,vip,int8,,,
,,online,int8,,,
,,battlevalue,int32,,,
,,gangid,int32,,,
,,gangname,string8,,,
wildbossstatus,野外BOSS概况,bossid,int16,,,
,,status,int8,,"BOSS状态,1-正常 2-已被击败 3-已逃跑",
,,nexttime,int32,,下次刷新时间,
treasurestar,上古秘宝星级,treasureid,int16,,,
,,star,int8,,,
treasurerwd,上古秘宝已领奖励,mapid,int16,,,
,,stars,int8,,,
tsumeko_progress,生死劫进度,kalpa,int8,,第几劫,
,,puzzle,int8,,第几难,
tsumeko_puzzle,生死劫关卡数据,puzzle,int8,,第几难,
,,roomid,int32,,房间ID,
,,challenge,int8,,今日剩余可挑战/扫荡次数,
,,box,int8,,今日剩余可开箱次数,
tsumeko_record,生死劫记录,names,list8,string8,队伍成员,
,,bout,int16,,关卡所有战斗总回合数,
,,time,int32,,时间,
traveltime,游历次数,eid,int16,,经验类型,
,,cnt,int8,,次数,
gangmember,帮派成员,id,int32,,,
,,name,string8,,,
,,shape,int16,,造型,
,,battlevalue,int32,,战力,
,,position,int8,,职位,
,,gangcontribution,int32,,帮贡,
,,lastoffline,int32,,上次离线时间,
gangrequest,帮派请求,id,int32,,,
,,name,string8,,,
,,shape,int16,,,
,,battlevalue,int32,,,
gangdesc,帮派简介,id,int32,,帮派ID,
,,name,string8,,帮派名字,
,,level,int8,,帮派等级,
,,member,int8,,成员数,
,,leadername,string8,,帮主名,
,,autopass,int32,,"自动加入条件,0则必须审核",
ganginclog,帮派上香记录,time,int32,,时间戳,
,,name,string8,,角色名,
,,inctype,int8,,上香类型,
escort_car,镖车信息,rid,uint32,,镖车主人ID,
,,sid,uint32,,镖车主人服务器ID,
,,start,uint32,,开始押镖时间,
,,end,uint32,,结束时间,
,,left,uint32,,剩余时间,
,,quality,uint8,,镖车品质 1~5,
,,battle,int32,,战力,
,,name,string8,,镖车主人角色名,
,,gang,string8,,帮派名字,
,,shape,int16,,造型,
escort_records,每日押镖战斗记录,id,uint16,,记录ID,
,,attack,int8,,"0:被劫,1:主动拦截别人",
,,rid,uint32,,对方角色ID,
,,sid,uint32,,对方服务器ID,
,,name,string8,,对方角色名,
,,quality,uint8,,镖车品质 1~5,
,,time,uint32,,时间,
,,result,int8,,"0:拦截成功,1:拦截失败",
,,state,int8,,"0:未复仇,1:复仇成功,2:复仇失败",
ganglog,帮派记录,logtype,int8,,记录类型,
,,time,int32,,记录时间,
,,args,list8,string8,类型参数,
gangskillinfo,帮派技能信息,pos,int16,,部位,
,,lvl,int16,,当前等级,
,,prop,warpropinfo,,,
gang_boss_damage,帮派BOSS伤害列表,name,string8,,角色名,
,,grade,int16,,角色等级,
,,rate,int8,,伤害比例,
best_player,天下第一参赛选手,rid,uint32,,角色ID,
,,name,string8,,角色名,
,,srvid,int32,,服务器编号,
,,state,int8,,"0:未淘汰,1:已淘汰",
best_winner,天下第一冠军信息,rid,uint32,,角色ID,
,,name,string8,,角色名,
,,srvid,int32,,服务器编号,
,,win,uint8,,胜场,
,,lose,uint8,,负场,
,,battle,int32,,战力,
,,lvl,uint16,,等级,
,,shape,int16,,造型,
,,desc,byte8,,描述,
best_fighter,天下第一押注界面角色,rid,uint32,,角色ID,
,,name,string8,,角色名,
,,srvid,int32,,服务器编号,
,,battle,int32,,战力,
,,lvl,uint16,,等级,
,,shape,int16,,造型,
,,desc,byte8,,描述,
goldtreasure_rare,黄金宝藏中奖物品,sid,int32,,物品SID,
,,amount,int16,,数量,
,,name,string8,,角色名,
growuprwd,养成进阶已领取奖励,rewardtype,int8,,养成类型,
,,rewarded,list8,int8,已领取列表,
gcexchange,物资兑换单个商品,index,int8,,服务器生成编号,
,,exchangeid,int8,,兑换ID,
,,times,int8,,已兑换次数,
gangflower,帮派场景花朵,index,int8,,位置编号,
,,roleid,int32,,所属玩家ID,
hegemony_defender,跨服争霸中守护者信息,rid,int32,,角色ID,
,,name,string8,,角色名,
,,shape,int16,,造型,
,,desc,byte8,,描述,
,,cls,int8,,职业,
,,grade,int16,,等级,
,,battle,int32,,战力,
,,hp,int16,,血量状态（单位：千分之）例：945 代表 94.5%,
hegemony_mine_info,跨服争霸中的矿点信息,mid,int16,,矿点ID,
,,camp,int8,,阵营ID,
,,name,string8,,守护者角色名,
,,shape,int16,,守护者造型(头像),
,,num,int16,,开采人数,
hegemony_role,跨服争霸中玩家信息,rid,uint32,,角色ID,
,,camp,int8,,阵营ID,
,,x,int16,,坐标x,
,,y,int16,,坐标y,
,,name,string8,,角色名,
,,shape,int16,,造型,
,,team,int8,,0:个人，1：队伍,
qmjjcount,全民进阶达成数,index,int8,,编号,
,,count,int16,,,
hegemony_score,阵营积分,camp,int8,,阵营ID,
,,score,int32,,积分,
discsgoods,折扣商店商品,goodsid,int8,,商品ID,
,,bought,int16,,已购数量,
groupbuyrw,首冲团购奖励,cnt,int16,,充值人数,
,,gold,int16,,充值金额,
cookbattle_result,食神挑战结果,result_idx,int8,,结局类型,
,,result,int8,,结局（0 失败，1 胜利，2 平局）,
,,subject_style,int8,,出题菜系,
,,recipe,int8,,出题菜谱,
,,rival_style,int8,,系统厨师菜系,
,,rival_level,int8,,系统厨师级别（0 普通，1 精英）,
cookbattle_recipe,食神挑战菜谱,style,int8,,菜系,
,,recipe,int8,,菜谱,
,,amount,int16,,数量,
wulin_rank_info,武林盟主排行榜数据,rid,uint32,,角色ID,
,,score,uint32,,积分,
,,name,string8,,名字,
,,srvid,int32,,服务器编号,
