协议名称,协议值,备注,属性,类型,子类型,说明
,,,puzzle,int8,,如果不为0，则跳转到指定难（用于加入队伍时）
C2S_TSUMEKO_RECORD,0x2822,请求生死劫全服记录,kalpa,int8,,第几劫
,,,puzzle,int8,,第几难
S2C_TSUMEKO_RECORD,0x2822,发送生死劫全服记录,kalpa,int8,,第几劫
,,,puzzle,int8,,第几难
,,,first,tsumeko_record,,首通记录
,,,fast,tsumeko_record,,速能记录
S2C_TSUMEKO_NO_RECORD,0x2823,发送生死劫没有记录,kalpa,int8,,第几劫
,,,puzzle,int8,,第几难
C2S_TSUMEKO_FIGHT,0x2823,请求挑战,kalpa,int8,,第几劫
,,,puzzle,int8,,第几难
C2S_TSUMEKO_SECKILL,0x2824,请求扫荡,kalpa,int8,,第几劫
,,,puzzle,int8,,第几难
C2S_TSUMEKO_BOX,0x2825,请求开箱,kalpa,int8,,第几劫
,,,puzzle,int8,,第几难
C2S_TSUMEKO_KILL_ALL,0x2826,一键扫荡全部已通关关卡,,,,
S2C_TSUMEKO_BAG,0x2824,背包空间不足,,,,
S2C_TSUMEKO_RED,0x2825,发送红点信息,red,list8,int8,"0:无红点,1:有红点 (对应每劫)"
C2S_ESCORT_INFO,0x2840,请求每日押镖信息,,,,
S2C_ESCORT_INFO,0x2840,发送每日押镖信息,cars,list8,escort_car,正在押镖的镖车信息
,,,state,int8,,"0:未押镖,1:押镖中,2:押镖完成未领取奖励"
,,,start,uint32,,押镖中，开始押镖时间
,,,left,uint32,,押镖中，距离完成剩余时间
,,,finish,uint8,,今日已押镖次数
,,,plunder,uint8,,今日已劫镖次数
C2S_ESCORT_CAR,0x2841,请求品质信息,,,,
S2C_ESCORT_CAR,0x2841,发送品质信息,quality,uint8,,当前镖车品质
,,,finish,uint8,,今日已押镖次数
C2S_ESCORT_RECORD,0x2842,请求押镖战斗记录,,,,
S2C_ESCORT_RECORD,0x2842,发送押镖战斗记录,records,list8,escort_records,押镖战斗记录
C2S_ESCORT_BEGIN,0x2843,请求开始押镖,,,,
C2S_ESCORT_ORANGE,0x2844,请求一键刷橙,,,,
C2S_ESCORT_QUALITY,0x2845,请求升级镖车品质,,,,
C2S_ESCORT_PLUNDER,0x2846,请求劫镖,roleid,uint32,,镖车主人角色ID
,,,start,uint32,,镖车开始押镖时间
C2S_ESCORT_REVENGE,0x2847,请求复仇,recordid,uint16,,记录ID
C2S_ESCORT_REWARD,0x2848,请求结算数据和奖励,,,,
S2C_ESCORT_REWARD,0x2848,发送结算数据和奖励,rewards,list8,reward,基础奖励
,,,items,list8,rewarditem,物品奖励
,,,quality,uint8,,当前镖车品质
,,,records,list8,escort_records,押镖战斗记录
C2S_ESCORT_FINISH,0x2849,请求一键完成,,,,
C2S_ESCORT_RED,0x284a,请求押镖红点提示相关信息,,,,
S2C_ESCORT_RED,0x284a,发送押镖红点提示相关信息,state,int8,,"0:未押镖,1:押镖中,2:押镖完成未领取奖励"
,,,finish,uint8,,今日已押镖次数
,,,left,uint32,,押镖中，距离完成剩余时间
C2S_BEST_INFO,0x2860,请求天下第一主界面,,,,
S2C_BEST_INFO,0x2860,发送天下第一信息,state,int8,,0：不可报名，1：可以报名，2：海选 3~7对应 16强、8强、4强、决赛、产生冠军
,,,msg,string8,,显示文字（state为0~2时有效）
,,,players,list8,best_player,16位选手，顺序是左边从上到下，再右边从上到下（state大于1时有效）
,,,level,int8,,等级段，1~5 对应 新秀~无双（state大于2时有效）
,,,roleid,uint32,,押注角色id
,,,myrid,uint32,,自己rid
,,,winner,best_winner,,冠军信息（state为7时有效）
C2S_BEST_APPLY,0x2861,请求天下第一报名,,,,
C2S_BEST_DETAIL,0x2862,请求战斗结果/押注界面,id,uint8,,对战编号（0~14）返回内容取决于当前赛程进度
S2C_BEST_RECORD,0x2862,发送战斗结果,ridleft,uint32,,左角色ID
,,,nameleft,string8,,左角色名
,,,sidleft,int32,,左服务器ID
,,,ridright,uint32,,右角色ID
,,,nameright,string8,,右角色名
,,,sidright,int32,,右服务器ID
,,,result,list8,uint8,"对战记录0:右赢,1:左赢(比分高的一方胜)"
,,,id,uint8,,对战编号（0~14），0~13的胜者晋级，14的胜者是冠军
S2C_BEST_BET,0x2863,发送押注界面,left,best_fighter,,左边角色信息
,,,right,best_fighter,,右边角色信息
,,,price,list8,uint32,三种押注的价格，分别是绑定、非绑、非绑
,,,bet,int8,,"0:未押注,1~3已押注 对应 普通、高级、超级"
,,,rid,uint32,,已押注的角色ID
,,,id,uint8,,对战编号（0~14）
C2S_BEST_LOOK,0x2864,请求查看战斗回放,id,uint8,,对战编号（0~14）
,,,num,uint8,,第几场对战
C2S_BEST_BUY,0x2865,请求押注,id,uint8,,对战编号（0~14）
,,,rid,uint32,,押注角色ID
,,,bet,int8,,1~3 对应 普通、高级、超级
C2S_BEST_RED,0x2866,请求天下第一红点提示信息,,,,
S2C_BEST_RED,0x2866,发送红点信息,red,uint8,,0:无红点，1：可报名（有等级要求），2：可押注
,,,lvl,uint16,,报名等级要求
C2S_HEGEMONY_INFO,0x2870,请求跨服争霸活动信息,,,,
S2C_HEGEMONY_NIFO,0x2870,发送跨服争霸活动信息,stage,int8,,活动状态 2：准备，3：正式开始（2、3状态为可进入，其它状态不可进入活动）
,,,left,int32,,活动状态倒计时
C2S_HEGEMONY_ENTER,0x2871,请求进入跨服争霸活动,,,,
S2C_HEGEMONY_ENTER,0x2871,发送跨服争霸初始数据,camp,int8,,己方阵营ID
,,,stage,int8,,活动状态
,,,left,int32,,活动状态倒计时
,,,roomid,int32,,房间ID
,,,mine_info,list16,hegemony_mine_info,矿占领信息
,,,players,list16,hegemony_role,玩家位置信息
,,,rid,uint32,,自己角色ID
,,,scores,list8,hegemony_score,阵营积分
C2S_HEGEMONY_MOVE,0x2872,跨服争霸活动内玩家移动,x,int16,,坐标x
,,,y,int16,,坐标y
S2C_HEGEMONY_MOVE,0x2872,跨服争霸活动内玩家移动,rid,uint32,,角色ID
,,,x,int16,,坐标x
,,,y,int16,,坐标y
C2S_HEGEMONY_LOOK,0x2873,请求矿点信息,mid,int16,,矿点ID
S2C_HEGEMONY_LOOK,0x2873,发送矿点信息,mine_info,hegemony_mine_info,,矿占领信息
,,,defenders,list8,hegemony_defender,守护者列表（长度大于1时，首个是队长）
C2S_HEGEMONY_EXPLOIT,0x2874,请求开采,mid,int16,,矿点ID
S2C_HEGEMONY_EXPLOIT,0x2874,开采中,mid,int16,,矿点ID
C2S_HEGEMONY_EXIT,0x2875,请求退出活动,,,,
S2C_HEGEMONY_EXIT,0x2875,通知玩家退出活动,,,,
S2C_HEGEMONY_REWARD,0x2876,通知玩家开采倒计时,left,uint32,,剩余时间
C2S_HEGEMONY_REWARD,0x2876,请求获取奖励,,,,
C2S_HEGEMONY_FIGHT,0x2877,请求挑战,mid,int16,,矿点ID
,,,rid,uint32,,守护者角色ID
S2C_HEGEMONY_MINE,0x2878,更新矿点信息变化,mine_info,hegemony_mine_info,,矿占领信息
S2C_HEGEMONY_ADD,0x2879,添加头像,role_info,hegemony_role,,玩家位置信息
S2C_HEGEMONY_REMOVE,0x287A,删除头像,rid,uint32,,角色ID
S2C_HEGEMONY_SCORE,0x287B,广播积分,scores,list8,hegemony_score,阵营积分
S2C_HEGEMONY_SELF,0x287C,自己或队长角色ID,rid,uint32,,
S2C_HEGEMONY_RESET,0x287D,玩家重定位(立即到达目标位置),rid,uint32,,角色ID
,,,x,int16,,坐标x
,,,y,int16,,坐标y
C2S_WULINHEAD_ENTER,0x2880,请求进入武林盟主活动,,,,
S2C_WULINHEAD_ENTER,0x2880,进入武林盟主活动,left,uint32,,活动结束剩余时间
,,,npcs,list8,uint8,NPC ID
,,,layer,uint8,,当前层
C2S_WULINHEAD_RANK,0x2881,请求武林盟主排行榜,,,,
S2C_WULINHEAD_RANK,0x2881,发送武林盟主排行榜,rank,list16,wulin_rank_info,排行榜数据
,,,shape,int16,,第一名造型
,,,desc,byte8,,第一名描述
,,,myranking,int16,,自己排名
,,,score,uint32,,自己积分
C2S_WULINHEAD_RED,0x2882,请求武林盟主活动状态,,,,
S2C_WULINHEAD_RED,0x2882,发送武林盟主活动状态,state,uint8,,0:未开启 1:开启
C2S_WULINHEAD_PVE,0x2883,挑战NPC,npcid,uint8,,
C2S_WULINHEAD_PVP,0x2884,挑战玩家,rid,uint32,,玩家ID
S2C_WULINHEAD_ADD,0x2883,增加NPC,npcid,uint8,,
S2C_WULINHEAD_REMOVE,0x2884,移除NPC,npcid,uint8,,
C2S_WULINHEAD_EXIT,0x2885,请求退出活动,,,,
S2C_WULINHEAD_EXIT,0x2885,通知玩家退出活动,,,,
S2C_WULINHEAD_TASK,0x2886,当前任务信息,taskid,uint16,,任务ID（0表示已完成所有任务）
,,,value,uint16,,当前进度
C2S_WULINHEAD_TASK,0x2886,请求交任务,taskid,uint16,,任务ID
