协议名称,协议值,备注,属性,类型,子类型,说明
S2C_MAP_ROLESTATE,0x144,场景单位状态,id,int32,,对象ID
,,,state,int8,,状态
S2C_MAP_CHANGESHAPE,0x145,场景单位造型、描述,id,int32,,对象ID
,,,shape,int16,,造型
,,,desc,byte8,,描述
S2C_MAP_CHANGETITLE,0x146,场景单位改变名字,id,int32,,对象ID
,,,name,string8,,名字
S2C_MAP_PLAYANI,0x147,场景特效,id,int32,,"id不为0时在对象身上播放，为0是在x,y处播放"
,,,ani,int16,,特效ID
,,,x,int16,,X坐标
,,,y,int16,,Y坐标
S2C_MAP_ROLETITLE,0x14b,场景单位称号（一般用于活动）,id,int32,,对象ID
,,,tid,int8,,称号ID（具体与客户端协商定义）
S2C_HANGMAP_INFO,0x150,当前世界地图,scsid,int16,,场景SID
,,,,,,
C2S_NPC_LOOK,0x160,点击NPC,id,int32,,NPCID
C2S_NPC_RESPOND,0x161,回复NPC,idx,int32,,选择
S2C_NPC_CHAT,0x160,NPC对话,id,int32,,NPCID
,,,icon,int16,,
,,,name,string8,,
,,,text,string16,,对话内容
,,,textid,int32,,对话ID，为0时使用text，内容存在客户端
,,,opts,list8,npctalkopt,选项
C2S_ROLE_INFO,0x400,获取角色信息,,,,
S2C_ROLE_INFO,0x400,刷新角色信息,lv,int16,,
,,,shape,int16,,
,,,gold,int32,,
,,,exp,int32,,
,,,goldspd,int32,,
,,,expspd,int32,,
,,,stamina,int32,,
,,,tm,int32,,
C2S_PET_INFO,0x430,获取宠物信息,,,,
S2C_PET_INFO,0x430,刷新宠物信息,lv,int16,,
,,,shape,int16,,
,,,exp,int32,,
C2S_SKILL_INFO,0x432,获取技能信息,id,int8,,1主角2宠物3伙伴
S2C_SKILL_INFO,0x432,刷新技能信息,id,int8,,1主角2宠物3伙伴
,,,skill1lv,int16,,
,,,skill2lv,int16,,
C2S_PARTNER_INFO,0x431,获取伙伴信息,,,,
S2C_PARTNER_INFO,0x431,刷新伙伴信息,lv,int16,,
,,,shape,int16,,
,,,exp,int32,,
C2S_CLICK,0x433,点击操作,x,int16,,
,,,y,int16,,
S2C_CLICK,0x433,点击操作信息,x,int16,,
,,,y,int16,,
,,,gold,int32,,
,,,exp,int32,,
C2S_LV_UP,0x434,请求升级,id,int8,,1主角2宠物3伙伴
C2S_SKILL_LVUP,0x435,请求技能升级,id,int8,,1主角2宠物3伙伴
,,,skillid,int8,,1或者2
C2S_SPEC_SKILLINFO,0x436,获取特殊技能信息,,,,
S2C_SPEC_SKILLINFO,0x436,刷新特殊技能信息,skill1lv,int16,,
,,,skill1tm,int32,,
,,,skill1cd,int32,,
,,,skill2lv,int16,,
,,,skill2tm,int32,,
,,,skill2cd,int32,,
,,,skill3lv,int16,,
,,,skill3tm,int32,,
,,,skill3cd,int32,,
,,,skill4lv,int16,,
,,,skill4tm,int32,,
,,,skill4cd,int32,,
C2S_SPEC_SKILL_USE,0x437,使用特殊技能,id,int8,,"1,2,3,4"
C2S_SPEC_SKILL_LVUP,0x438,特殊技能升级,id,int8,,"1,2,3,4"
C2S_SKILL_CLICK,0x439,特殊技能自动点击,x,int16,,
,,,y,int16,,
C2S_ITEM_GETLIST,0x401,获取道具列表,,,,
C2S_ITEM_USE,0x180,使用物品,id,int32,,物品ID
,,,amount,int32,,使用数量
C2S_ITEM_MOVE,0X402,移动道具,id,int32,,
,,,dstpos,int16,,
C2S_ITEM_BAGEXPAND,0x181,扩充背包,size,int16,,扩充数量
S2C_ITEM_LIST,0x180,物品列表,items,list16,item,物品列表
S2C_ITEM_ADD,0x181,增加物品,item,item,,
S2C_ITEM_UPDATE,0x182,更新物品,id,int32,,物品ID
,,,amount,int32,,数量
,,,pos,int16,,物品位置
,,,key,int8,,绑定标记
S2C_ITEM_DEL,0x183,删除物品,id,int32,,物品ID
S2C_ITEM_BAGCOUNT,0x184,背包数量,size,int16,,背包数量
,,,goldsize,int16,,通过元宝购买的数量
C2S_ITEM_BUY,0x403,购买道具,id,int32,,
C2S_CHAT,0x1a0,聊天,ch,int8,,频道
,,,msg,string16,,消息
C2S_CHAT_GM,0x1a1,GM命令,msg,string16,,
S2C_CHAT,0x1a0,玩家聊天信息,ch,int8,,频道
,,,srvid,uint16,,服务器ID
,,,pid,int32,,玩家ID
,,,shape,int16,,
,,,vip,int8,,
,,,name,string8,,
,,,msg,string16,,消息
S2C_CHAT_SYSTEM,0x1a1,系统信息,ch,int8,,频道
,,,msg,string16,,
S2C_NOTIFY_MESSAGE,0x1b0,弹框,boxtype,uint8,,弹框类型
,,,msg,string8,,消息
,,,opt,string8,,按钮文字
,,,timeout,uint16,,自动消失时间，0为不自动消失
S2C_NOTIFY_FLOAT,0x1b1,浮动提示,msg,string16,,提示文字
S2C_NOTIFY_FLYMESSAGE,0x1b2,飞行提示,style,int8,,提示方式，0从右到左边滚动
,,,msg,string16,,
S2C_NOTIFY_FLYHINT,0x1b3,获得经验、银子、物品等提示,warid,int32,,战斗ID（0 表示立即提示，其他为等该战斗播放完提示）
,,,hint,uint8,,提示类型（0x0-0x7F 与奖励类型一致，0x80-0xFF由程序定义）
,,,sid,int32,,
,,,num,int32,,数量
,,,qua,int8,,品质
S2C_NOTIFY_NOENOUGH,0x1b4,货币，消耗材料不足,ctype,int8,,类型（0x0-0x7F 与消耗类型一致，消耗类型和奖励类型也是一致的）
,,,sid,int32,,消耗品SID
S2C_NOTIFY_REWARD,0x1b5,奖励提示,warid,int32,,战斗ID（0 表示立即提示，其他为等该战斗播放完提示）
,,,showtype,int8,,展示界面类型（0 浮动提示，1 领取界面，2 无提示）
,,,rewards,list8,reward,奖励列表
,,,items,list8,rewarditem,物品奖励列表
S2C_NOTIFY_OFFLINEREWARD,0x1b6,离线奖励提示,exp,int32,,经验
,,,money,int32,,银子
,,,equip,int16,,装备
,,,mcexp,int32,,月卡加成
,,,mcmoney,int32,,月卡加成
,,,mcequip,int16,,月卡加成
,,,smeltequip,int16,,自动熔炼的装备
,,,offtime,uint32,,离线时间
,,,,,,
C2S_HERO_LEVELUP,0x201,角色升级,,,,
S2C_HERO_PROP,0x201,角色属性,props8,list8,prop8,1字节属性列表
,,,props16,list8,prop16,2字节属性列表
,,,props32,list8,prop32,4字节属性列表
,,,propsstr,list8,propstr,字符串属性列表
,,,propsbyte,list8,propbyte,二进制属性列表
S2C_HERO_ENTERSCENE,0x202,角色进入场景,id,int32,,角色ID
,,,scid,int16,,场景ID
,,,scsid,int16,,场景SID
,,,resid,int16,,场景资源ID
,,,scname,string8,,场景名
,,,x,int16,,X坐标
,,,y,int16,,Y坐标
S2C_HERO_GOTO,0x203,角色回退，移动失败,x,int16,,X坐标
,,,y,int16,,Y坐标
S2C_WAR_START,0x300,战斗开始,id,int32,,战斗对象ID（可用来区分不同的战斗）
,,,type,int8,,战斗类型(0 普通战斗，1 自动挂机，2 多人BOSS)
,,,subtype,int8,,战斗子类型
,,,lineup,int8,,战斗所在方
,,,playmode,int8,,播放模式(0 允许被后续战斗覆盖，1 缓存后续战斗)
,,,skip,int8,,允许跳过(0 不允许，>=1 第x回合允许跳过)
,,,maxbout,int8,,最大回合数
S2C_WAR_ADD,0x301,添加warrior,warid,int8,,位置，战斗id
,,,type,int8,,类型，玩家/灵兽/NPC
,,,owner,int8,,主人战斗id
,,,status,int16,,状态
,,,shape,int16,,造型
,,,desc,byte8,,描述
,,,grade,int16,,等级
,,,classes,int8,,职业
,,,name,string8,,名字
,,,zoomlvl,int8,,缩放级别（0 无缩放，1 放大1.5倍）
S2C_WAR_LEAVE,0x302,移除warrior,warid,int8,,位置，战斗id
S2C_WAR_STATUS,0x303,warrior状态,warid,int8,,位置，战斗id
,,,hprate,int16,,HP千分比
S2C_WAR_NEXT,0x305,回合开始,bout,int8,,战斗回合数
S2C_WAR_TURN,0x306,回合结束,,,,
S2C_WAR_PREEND,0x30e,战斗准备结束,,,,
S2C_WAR_END,0x30f,战斗结束,force,int8,,是否强制退出
S2C_WAR_REPLY,0x30d,开始播放录像,,,,
,,,,,,
S2C_WAR_ATTACK_NORMAL,0x311,普通攻击,att,int8,,攻击者战斗id
,,,vic,int8,,被攻击者战斗id
S2C_WAR_ATTACK_END,0x312,攻击结束,,,,
S2C_WAR_PERFORM,0x313,招式,att,int8,,施法者战斗id
,,,skillid,int16,,技能id
,,,lv,int8,,技能等级
,,,round,int8,,攻击次数
,,,lsvic,list8,int8,被攻击者战斗id列表
S2C_WAR_PERFORM_END,0x314,招式结束,,,,
S2C_WAR_PARTNER_ATTACK,0x315,协助攻击,partner,int8,,协助者战斗id
,,,vic,int8,,被攻击者战斗id
S2C_WAR_BACKATTACK,0x316,反击,att,int8,,施法者战斗id
,,,skillid,int16,,技能id
,,,lv,int8,,技能等级
,,,round,int8,,攻击次数
,,,lsvic,list8,int8,被攻击者战斗id列表
S2C_WAR_BACKATTACK_END,0x317,反击结束,,,,
S2C_WAR_SHAKE,0x318,反震,att,int8,,攻击者战斗id
,,,vic,int8,,被攻击者战斗id
S2C_WAR_PROTECT,0x319,保护,protector,int8,,保护者战斗id
,,,vic,int8,,被攻击者战斗id
S2C_WAR_ATTACK_STATUS,0x31a,受击状态,target,int8,,受击者战斗id
,,,status,int16,,状态
,,,value,int32,,根据状态决定
S2C_WAR_BUFF_ADD,0x330,增加buff,warid,int8,,位置，战斗id
,,,bid,int16,,buff，SID
,,,overlay,int8,,叠加层数
,,,bout,int8,,回合数
,,,datas,list8,int32,buff数据列表
S2C_WAR_BUFF_DEL,0x331,删除buff,warid,int8,,位置，战斗id
,,,bid,int16,,buffid
C2S_WAR_PLAYEND,0x340,战斗播放结束,id,int32,,战斗对象ID
S2C_WAR_DEFEAT,0x340,失败界面,idx,int8,,界面类型
